时间戳,纬度(度),经度(度),相对高度(米),GPS高度(米),读取次数,频率(Hz)
2025-10-16 21:36:39.563,30.5339964,104.0011512,0.0,486.6640319824219,11,2.12
2025-10-16 21:36:44.600,30.533996199999997,104.0011511,0.0,486.6640319824219,21,2.05
2025-10-16 21:36:49.652,30.533996,104.001151,0.0,486.6650085449219,31,2.03
2025-10-16 21:36:54.688,30.5339958,104.001151,0.0,486.6650085449219,41,2.02
2025-10-16 21:36:59.775,30.533995599999997,104.0011512,0.0,486.6640319824219,51,2.01
2025-10-16 21:37:04.842,30.533995599999997,104.001151,0.0,486.6650085449219,61,2.00
2025-10-16 21:37:09.876,30.5339955,104.0011509,0.0020000000949949026,486.6670227050781,71,2.00
2025-10-16 21:37:14.920,30.533995299999997,104.001151,0.0,486.6650085449219,81,2.00
2025-10-16 21:37:19.961,30.5339949,104.0011511,0.0010000000474974513,486.666015625,91,2.00
2025-10-16 21:37:25.061,30.5339948,104.0011511,0.0,486.6640319824219,101,1.99
2025-10-16 21:37:30.108,30.5339945,104.0011512,0.0,486.6650085449219,111,1.99
2025-10-16 21:37:35.145,30.5339942,104.0011511,0.0,486.6650085449219,121,1.99
