GPS位置数据记录
================================================================================
格式: 时间戳 | 纬度(度) | 经度(度) | 相对高度(米) | GPS高度(米) | 读取次数 | 频率(Hz)
================================================================================


--- 频率统计时间: 2025-10-16 21:39:55.588 | 总读取次数: 11 | 当前频率: 2.11 Hz ---
2025-10-16 21:39:50.547 | 30.5339879 | 104.0011518 | 0.000 | 486.665 | 1 | 2.11
2025-10-16 21:39:51.054 | 30.5339879 | 104.0011518 | 0.000 | 486.665 | 2 | 2.11
2025-10-16 21:39:51.558 | 30.5339878 | 104.0011518 | 0.000 | 486.665 | 3 | 2.11
2025-10-16 21:39:52.063 | 30.5339878 | 104.0011518 | 0.000 | 486.664 | 4 | 2.11
2025-10-16 21:39:52.564 | 30.5339878 | 104.0011518 | -0.001 | 486.664 | 5 | 2.11
2025-10-16 21:39:53.068 | 30.5339878 | 104.0011518 | 0.000 | 486.664 | 6 | 2.11
2025-10-16 21:39:53.570 | 30.5339878 | 104.0011518 | 0.000 | 486.664 | 7 | 2.11
2025-10-16 21:39:54.076 | 30.5339879 | 104.0011518 | 0.000 | 486.664 | 8 | 2.11
2025-10-16 21:39:54.581 | 30.5339878 | 104.0011518 | 0.000 | 486.664 | 9 | 2.11
2025-10-16 21:39:55.082 | 30.5339878 | 104.0011518 | 0.000 | 486.664 | 10 | 2.11
2025-10-16 21:39:55.588 | 30.5339878 | 104.0011519 | -0.001 | 486.664 | 11 | 2.11


--- 频率统计时间: 2025-10-16 21:40:00.652 | 总读取次数: 21 | 当前频率: 2.05 Hz ---
2025-10-16 21:39:56.105 | 30.5339878 | 104.0011518 | -0.001 | 486.664 | 12 | 2.05
2025-10-16 21:39:56.611 | 30.5339878 | 104.0011519 | 0.000 | 486.664 | 13 | 2.05
2025-10-16 21:39:57.113 | 30.5339878 | 104.0011518 | 0.000 | 486.664 | 14 | 2.05
2025-10-16 21:39:57.618 | 30.5339878 | 104.0011518 | 0.000 | 486.665 | 15 | 2.05
2025-10-16 21:39:58.133 | 30.5339877 | 104.0011517 | 0.000 | 486.666 | 16 | 2.05
2025-10-16 21:39:58.638 | 30.5339877 | 104.0011517 | 0.000 | 486.666 | 17 | 2.05
2025-10-16 21:39:59.142 | 30.5339877 | 104.0011517 | 0.001 | 486.666 | 18 | 2.05
2025-10-16 21:39:59.647 | 30.5339877 | 104.0011517 | 0.001 | 486.667 | 19 | 2.05
2025-10-16 21:40:00.150 | 30.5339876 | 104.0011518 | 0.002 | 486.667 | 20 | 2.05
2025-10-16 21:40:00.652 | 30.5339876 | 104.0011518 | 0.001 | 486.667 | 21 | 2.05


--- 频率统计时间: 2025-10-16 21:40:05.715 | 总读取次数: 31 | 当前频率: 2.02 Hz ---
2025-10-16 21:40:01.155 | 30.5339876 | 104.0011518 | 0.000 | 486.666 | 22 | 2.02
2025-10-16 21:40:01.672 | 30.5339875 | 104.0011518 | 0.000 | 486.664 | 23 | 2.02
2025-10-16 21:40:02.179 | 30.5339875 | 104.0011518 | 0.000 | 486.664 | 24 | 2.02
2025-10-16 21:40:02.687 | 30.5339875 | 104.0011518 | -0.001 | 486.663 | 25 | 2.02
